applied,original,title,company,summary,link
,0,Engineer with Electrical/ Software Design Experience (Retirees Welcome),"Amatrol, Inc.","Ensure manufacturability, marketability and proper costing of products through application of knowledge of programming, engineering principles to research...",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Ay_q9DD4FB4nia6GLBcjEGsWsq1nk6jPcPcu5LlJ-T_G7SQEg3mwVpPpAM5icNOvFsxqICxEAUl520ejnKn9wugMTskMhjSzTrUL457Ippq3k_w49dT2HSgTS4xbnZLefh6T4IfWgp4kASWEeTboQTlgbY-HgC3hAF5MrKCvh78zkrQuC_2Ba2FbRL8dTr6oBoBFvV9Cp_OJaBqG261AVNQygpVIXf5e2BC68YNLhDBiAAtj1okhdskV8pD9BAZnoXh_JMig-sdbKzWaVRmHS_7Cgvpg1M4AAVBUE8E5TXLCKSuBHq9ICboXaNOl4-KARKHVXpVRU6LHKmlHgjeC6dDbGYgGeARn7zLJYmFXmZKK-2NacXc7E-uR4IqRCxevGnAFDHrR4LW2T2SBLV9ymh1vm3BC4YMDTliEqabsV0ylsY0HHW-fp-PurpAFcXCy0CCS_BFE0_lcfVQfTHLHoFbiBH_53UQs4U9-Oed_G3cr_tTYw90oRiSeKDvV4einG5SH54Eyd3CQ==&vjs=3&p=1&sk=&fvj=1
,1,Systems Engineer 1,Apex Systems Inc,* Take direction from Manager on specialty projects involving new software/products and integrating them into the environment.,https://www.indeed.com/rc/clk?jk=090a9cb40daef06b&from=vj&pos=top&spon=1
,1,Call Center Caseworker,American Red Cross,"SAF Caseworkers are part of the Emergency Call Center, which provides 24-hour emergency communications and casework services, including access to financial...",https://www.indeed.com/rc/clk?jk=1ca334171c1d9494&from=vj&pos=top&spon=1
,1,Associate Software Engineer,CBS Interactive,"The ASE will collaborate with Engineering peers, Product Managers, Designers, Product Marketers, QA, Operations and Editors, to guide and produce functional...",https://www.indeed.com/rc/clk?jk=29024db5f48fbcf8&from=vj&pos=top
,1,Software Engineer 2,Humana,This position is with Provider Development IT which aligns to Humana and Transcend MSO / Care Delivery Organization Population Health Management supporting...,https://www.indeed.com/rc/clk?jk=4b5ebcab092d0177&from=vj&pos=top
,1,Data Analyst,Baptist Healthcare System,"Working with Operational partners and Practice Optimization team members, the Data Analyst ensures educated business decisions are made through accurate...",https://www.indeed.com/rc/clk?jk=5545e77be3cd3775&from=vj&pos=top
,1,Software Developer,Bastian Solutions,"Software Developers will be preparing, or receiving detailed functional specification and flow diagrams to illustrate the sequence of steps that the program...",https://www.indeed.com/rc/clk?jk=59a899f653c0828b&from=vj&pos=top
,1,.Net/C# Software Engineer,Jack Henry,"You will participate in all phases of the development cycle: concept, technical design, prototype, code development, testing, release to QA and implementation.",https://www.indeed.com/rc/clk?jk=97a810786117750f&from=vj&pos=top
,0,Tier 1 Engineer,Mirazon,Consistent with the company's positive organizational culture.,https://www.indeed.com//company/Mirazon/jobs/Tier-Engineer-1883f12610515dd3?fccid=e3ac6b4871b687f0&vjs=3
,1,Project Engineer - Software,Bastian Solutions,"The Project Engineer provides oversight and is responsible for all phases of various software development and automation projects, including coordinating...",https://www.indeed.com/rc/clk?jk=fe8be7f2d6abd60c&from=vj&pos=top
,1,IT Intern - IT Development,LG&E and KU Energy,"Support and enhance various Customer Service applications including: My Account Customer website, SAP Customer Information System, IVR Telephony applications...",https://www.indeed.com/rc/clk?jk=260d3b27381a3246&from=vj&pos=top
,1,"Field Geologist/Scientist - Louisville, KY",ATC Group Services,"Author Spill Prevention, Control, and Countermeasures Plans (SPCC), Stormwater Pollution Prevention Plans (SWPPP), and other environmental compliance-related...",https://www.indeed.com/rc/clk?jk=a3ef14b6a383e373&from=vj&pos=top
,0,Software Developer,"Vita-Stat, LLC",* Create and maintain technical documentation using defined technical documentation templates or software,"https://www.indeed.com//company/Vita--Stat,-LLC/jobs/Software-Developer-86d06da280611342?fccid=e5fef1899bde409f&vjs=3"
,0,Software Engineer,Hospice Source LLC,"Token and OAuth based authentication

*_Preferred Experience_*

Amazon AWS stack with PHP SDK

 At least 2 years Laravel framework (5.5+) hands on...",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0B-erJ-42XGogunIrStSdzy6YxGBSYQ2n-xHkVFCWqu0_M5czKrxs5im68Eaym3XqF6bRXLm5nNJnY8mc4WwU6KgFcEfVzQaK05BFCdL2nHOXYK-1fUTDn3ZbMNauqoPYeC3aoabLekF3vZRwRBE8O-BTnmt2wdvRt0Q7qfvTQfVT7ls_M2-XQ6-m9Sh4-wzid0dk_AemBE4HUKlgdfFMbNsc8C1VGoxokGRTrNKdk3_8Q2v0ueLgNlyKyffvpRpPE9WSG7Va7np_R0pla6JnKTjL6PTZ4VqxlDf1xQsEHO0kJuEZS_DC-eTunxAU9yRX8LlJRC7s4MGaxC7Ons_K-Lhd7PsMdnCsjUvrg0Ho23-GhPeVuiuJv9w5EO8n-I3sUhsZUcqQ_xXcurE2YLoegRDtgJ4OG-otPoCaha27KJHXsp3vSGdJLpV4Be1zhsM5w=&vjs=3&p=4&sk=&fvj=1
,1,Entry Level Software Engineer,Revature,The successful candidate will be able to build and support enterprise level applications in compliance with coding standards and technical design.,https://www.indeed.com/rc/clk?jk=8854e7daafc9bc97&from=vj&pos=top&spon=1
,0,Senior Software Engingeer,"Venminder, Inc.","Mentor junior software engineers. As a Senior Software Engineer at Venminder, you will join a fast-paced and talented software development team consisting of...",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0B-ve_vllRfj4Fz_kiyynsS0jj45KKNRf3I9OvCNKnuSDTyVeHsk_vpaf7bdUAYlQZGjzZA6TrZe1Z3EcTeUHWMvVVjHcaBwgCg5K-cg0tO_BvubJXDuntkIKA-wiVl36slXKSuDCmj83Y_UQPctPNlqB1NkyyN2edFqAic7q-iJX34g1DZ5u10LXpjYxbspVqv3LNOkcJ26n_4MC04j7mZqPP7Xi5HvQmqcaO5S0VGF990r3pj0WhEhgZ5hVeiMqoBr9JeZPG5YGU9emvW2E89_6OYGzUIeoLOnTCh1x5NlxIwN64QKzGbrVZwB3PIskKBU1I0ya-Yzh0BL5qZBJVuYU90FBjrjV2eEAKwc-6WgJrr9ArxsVA35q_OBlb0S34kVkm6axqzz_2gH1a1b26lfV730BoQz70LWCyH7W4LWhl3GgDOlOFUJ0x2DiujMe0UHysqOaVteCSifyN_OmGS&vjs=3&p=1&sk=&fvj=1
,0,Software Developer (Web),Zoeller Pump Company,5 years of experience employed as a full-time software developer creating Web Application using Microsoft Technologies.\_\_....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DFunX5Qk9y2PK_Eilmstr8TalJMuo79S2qpgQfIo2sZIkK_Ntel4-8cYciRsloT2dZiIQphTrf2vpQqOwDL9tQiJn9smFGuvtywvMKQldfEa2L4_rwagL2I4yJEii55ff4bj38Y2bkj1qMIjesfIc9UAAI_LeenmNN44q-3GFtIKVD562ho87uZhw7aoTbFSree1dAILu03eQovb2ukl2kJ1TC5hSzEIh_LFkTEVUFm5E3pI_5pajUgQaz2xpVywlwkzeBN0m2WiVFWJvKw7QULsEJYIZBYC5CpjG9Qn-ENhbV2lvulbprN7snYI0PNg7oBsREisY0YLuORrlY5m2lT3130_B5knLafHXZlwD1w8NDs3nXjVI2Di5r6EmUP9FZdbbcZryuNH1Cj-EF28zMdzM1CWL4p8w5JmfzJs9JzVAe9fv5y31_eW2pFjIMobPVOvCEyCPX6Q==&vjs=3&p=2&sk=&fvj=1
,0,Senior Network Engineer,Confidential-Information Technology,"They are responsible for monitoring the network firewall, assessing the functionality of the network routers, ensuring all Internet security software is updated...",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0CP4ZTk6M0Ky6QsCxMFBpDWpqyxMvR2WBoveUsuy6Q691bv_ONBRhCGpVe25sdIf6xZeIby-RVJz8jQ6VX1lIFvz21PjjJSklX3hm87uoPeoSsZozMExMDMDfoDykBo6rH9ktyl9VMmZcqmEj399EiTuFQrZonz4r2r9fMajArB7uDHwepqTlcCKomsvoDr6dpYJMvS3fIVmbOLiewib1GsFuTOKUZ4Lr3zDPGSjlKFLvzk4T4r3D8Q24cVYl9HjEmbbTHXR1n0hqiemr9KL9ScNaqaEuYKGIXEJGZ3gGgkdIPX-oo5-pIn9eL3kOsQbn0RsLFRXEtSlZ1U3_rhYdRvzqqp3Kse53ejtFov-nFDRvAvTrAJRuN_S7uemF9HuvECbKZpjwBoE1iATrjc49pMUMTqjhFLYT2bHcHI4WMgKGk-Tpv0BR5eg7VCsR5lesasfTM4XQRnpw==&vjs=3&p=3&sk=&fvj=1
,0,Software Developer (ERP & Applications),Zoeller Pump Company,Zoeller Company is seeking an experienced Software Developer to support and develop business software at its corporate headquarters and manufacturing site in...,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DFunX5Qk9y2PK_Eilmstr8TalJMuo79S2qpgQfIo2sZIkK_Ntel4-8cYciRsloT2ckB7iTkVd_YjyV_Mi9LE-nbaoirZKD_H2zMfH6MYGoXK33ExQ_GSLthr2C0MUFTcmGtuzoHEyg0SCd8YpbS6H4a0agmwS4A9siokL94TsPICe55bFP3yqiC1BOsCEMr6IMA49i3KsOEJ8qtUy2AaFlScbhmziPYLwt6w4zHkZGPb1uiheSA4ymsD94bWDxhjE18bSODIY66kMVEyrba_r3MgsTXuKmhLBDiPpzCIloVFaI0o3MuCUVheMQbIBnFy7qV8b3kgvO1hIBpIrVwMRMkSJLBgHF-urGGeyggYL1Wg2wN9QLMKo3DrWiywZePlCouMQXYdhvssVzfLqtCC3ltx_WEl25eEqPJlAqvuj0Kfsak-ZndKabxEoUPsmD6N2i7nLHD4in_TiIKMRKTm19SLReUVM8kGc=&vjs=3&p=4&sk=&fvj=1
,0,Engineer with Electrical/ Software Design Experience (Retirees Welcome),"Amatrol, Inc.",Requirements for an electrical/ software design engineer:. Essential functions of an electrical/ software design engineer:....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Ay_q9DD4FB4nia6GLBcjEGsWsq1nk6jPcPcu5LlJ-T_G7SQEg3mwVpPpAM5icNOvFsxqICxEAUl520ejnKn9wugMTskMhjSzTrUL457Ippq3k_w49dT2HSgTS4xbnZLefh6T4IfWgp4kASWEeTboQT1w9pLW4BqGCkci4TlszkzVpN4TAYqjkho1yWB0GVkvIfMf-pOdiMakfP8I1uQUpgVfUYV4Hwuhe1ulVI7E44mXnb7mED8MSKDNune841N0fu3enHPHBJu_Cib_Tsf_eu1oo--aCRJkjBAfxX3G5kiLCDmEzpgqbG1_blGwAO5JrniuTNWvn62_gYVEnG2zezqTPQJIJkkafIxSvqMvejN-9LdL-IXGd0j6pu4-y6LapEGOCLvQTFPJz2BB3ti0B3ntDAh-sZlUEkQsujpqEnVFEYLyX2A_TgPkI0GnvNhU0eaPGABdAeNJNcYbpLZtQdeThxXQaeNpEHGi9ckdyy-nNw3W75J9Ov90UB2x_HKL8E7417BSVeKw==&vjs=3&p=5&sk=&fvj=1
,1,Software Engineer,Onco360,"Software Engineer Major Responsibilities:. Summary - This Software Engineer is responsible for analysis, design development, implementation, quality and...",https://www.indeed.com/rc/clk?jk=4a4bf34f27701090&from=vj&pos=top
,0,Software Developer,Bastian Solutions,"As a Software Developer you will be responsible for developing creative software programs based on received functional specifications, software design documents...",https://www.indeed.com//rc/clk?jk=59a899f653c0828b&fccid=02ab41a8726385cd&vjs=3
,1,.Net/C# Software Engineer,Jack Henry,Minimum 1 year of experience as a software engineer utilizing .Net framework. Jack Henry & Associates is seeking a .Net/C# Software Engineer to join the iPay...,https://www.indeed.com/rc/clk?jk=97a810786117750f&from=vj&pos=top
,0,Tier 1 Engineer,Mirazon,"Workstations, servers, virtualization, networking, and vendor specific hardware and software. This position reports to the manager of Managed Services....",https://www.indeed.com//company/Mirazon/jobs/Tier-Engineer-1883f12610515dd3?fccid=e3ac6b4871b687f0&vjs=3
,1,Project Engineer - Software,Bastian Solutions,"Microsoft Office, Microsoft Project, Databases (SQL Server and Oracle). The Project Engineer provides oversight and is responsible for all phases of various...",https://www.indeed.com/rc/clk?jk=fe8be7f2d6abd60c&from=vj&pos=top
,1,RECORDS SUPERVISOR I,Louisville Metro Government,"Acts as liaison between other government agencies, addresses issues and conducts inquires when necessary. Supervises daily operations and clerical procedures to...",https://www.indeed.com/rc/clk?jk=dfe596598ffef20f&from=vj&pos=top
,1,IT Intern - IT Development,LG&E and KU Energy,"Experience with SQL, Object Oriented programming, performance optimization and Web Services is preferred. This intern position is responsible for assisting the...",https://www.indeed.com/rc/clk?jk=260d3b27381a3246&from=vj&pos=top
,0,Lighting Programmer,Axxis,Willing to be a team player and have a great attitude during stressful situations. We are seeking a Lighting Programmer/ Technician with a minimum of 5 years’...,"https://www.indeed.com//company/Axxis,-Inc/jobs/Lighting-Programmer-ac29e0bd5fb4e5b4?fccid=e9d5792de88f4132&vjs=3"
,0,"Field Geologist/Scientist - Louisville, KY",ATC Group Services,"Must be proficient at using Word, Excel, Adobe, and other widely-used software programs. This position may be suitable for Engineers, Geologists, Scientists,...",https://www.indeed.com//rc/clk?jk=a3ef14b6a383e373&fccid=3f66d1760b943488&vjs=3
,0,Software Developer,"Vita-Stat, LLC","Write, modify and debug software for client applications. Git Version Control. Create and maintain technical documentation using defined technical documentation...","https://www.indeed.com//company/Vita--Stat,-LLC/jobs/Software-Developer-86d06da280611342?fccid=e5fef1899bde409f&vjs=3"
,0,Programmer Analyst,Derby Supply Chain Solutions,The qualified candidate will have strong application development experience using Microsoft Visual Studio .Net in either Visual Basic or C#....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DtgzQGvBbP_9ZAUBBkxRRhIS4Pd3g5fpvhbtnLjWeLaLss_5PhFkIaoRhiVV8Yfn5MiWKFRlsjIoN_Tk9P3-iCbDlWBytkrq14EUIXeb0hL1onBo8gs4WbN3wmqCmZAetISgjFBVdFx56WC4LPOHXzpXS_FC5Fd_DN2BqMkgDfP_PnVY6_ji2Uu0npIEF9aeP7h_cF0DTeLORQYPqt3MW8KyUXGZGHnzofD6vpAApsgJUMz_3ygml0tXyM1xIsBc-bQEpRYbTi-lVMhRrv3kHNp9UK5SJtoyFRBNUQ8Nfhcyxs-RKKkje0ixYOUfJSvc38TFp9huXUCcbrBNBD7SvTF9iAkf4bDEhBYu5r-gxK_e8OTYCcSYRnqPf7mjh244U5AHxww12Hngp2h6gf7ERpup-ff8qKqh9kItjA7WaERUI65Yvs-j1fXLqVZcgnjesQpUZ8ZODbFg==&vjs=3&p=6&sk=&fvj=1
,1,Software Engineer,Onco360,"Software Engineer Major Responsibilities:. Summary - This Software Engineer is responsible for analysis, design development, implementation, quality and...",https://www.indeed.com/rc/clk?jk=4a4bf34f27701090&from=vj&pos=top&spon=1
,0,Programmer Analyst,Derby Supply Chain Solutions,The qualified candidate will have strong application development experience using Microsoft Visual Studio .Net in either Visual Basic or C#....,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DtgzQGvBbP_9ZAUBBkxRRhIS4Pd3g5fpvhbtnLjWeLaLss_5PhFkIaoRhiVV8Yfn5MiWKFRlsjIoN_Tk9P3-iCbDlWBytkrq14EUIXeb0hL1onBo8gs4WbN3wmqCmZAetISgjFBVdFx56WC4LPOHXzaokxvijE474vQkmi8DJT0fmJz_r-CJyeU1OHaf0TNj7UM_0e9MWy6m191RR7Qi2EenfdF-AdIh_0S6DlMMZMJ_ol-ZEnRitmirDqedr80IoxgyxM85be4FLe5a9Qgz4WL1FzsmfV2aRZjthl6JYaq5-WS3pJjLzrBkEmedXdco-floTz7iqjDmGSp3Z3sBySMSZidB83VvQjqk9lQ8ctosaw3xwbJwG_S5g__1587fJb6ks9odfGAKQq88R93zorhiFcfwV0ImAgm00MIJ0uRGxe-iBxMn-E9I7kYh6ULloaTBSBfTChkw==&vjs=3&p=1&sk=&fvj=1
,0,Software Developer (ERP & Applications),Zoeller Pump Company,Zoeller Company is seeking an experienced Software Developer to support and develop business software at its corporate headquarters and manufacturing site in...,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DFunX5Qk9y2PK_Eilmstr8TalJMuo79S2qpgQfIo2sZIkK_Ntel4-8cYciRsloT2ckB7iTkVd_YjyV_Mi9LE-nbaoirZKD_H2zMfH6MYGoXK33ExQ_GSLthr2C0MUFTcmGtuzoHEyg0SCd8YpbS6H48-NERHB_rvRXUJRxftYwrSBK7KS7t9ghJOTFp1C8vsx3Dlpos7vboZsSz2ld5l2YKe6Pxsv3BeUvH1XznIv6A79uvkqwA0gBXkaEpDzMQWQVZz0yyheUPryrj34GquXL9GIKTpL6euFYw2EGsWnsU7iCVT6gjmDtUsNIgaUl-iQ5NnutNYljmkzrlxH4gFZ9vEjNRJqVQKTTFDy4Kq4t_QO0u_KSMArWOBMMRgAciAxhVUpS-taXTDC5CuXqm_5JCyXE2bpuZVsxYUzmjGEmgvrfZ_cr5fSMS8cVJHh5p-LTYZ2zUK1jsvb_m9BHqF6vVySdrVCVyyM=&vjs=3&p=2&sk=&fvj=1
